,number,value,datetime_start,datetime_complete,duration,params_Optimizer,params_batch_size,params_hidden size memory unit 1,params_hidden size memory unit 2,params_learning rate,params_linear layer units 1,params_linear layer units 2,params_n_growth_factor_0,params_n_growth_factor_1,params_n_growth_factor_2,params_number layer memory unit,params_number of convolution layers,state
58,58,0.196546882,29:32.1,31:01.6,0 days 00:01:29.564810,SGD,64,64,128,4.09E-10,256,128,1,1,1,3,3,COMPLETE
59,59,0.920045018,31:01.8,34:48.7,0 days 00:03:46.859179,SGD,64,64,128,2.98E-10,512,256,2,2,1,2,3,COMPLETE
60,60,0.395437628,34:49.7,36:15.5,0 days 00:01:25.767041,SGD,32,64,128,1.89E-10,256,128,1,1,1,2,3,COMPLETE
61,61,0.19867748,36:15.7,37:26.1,0 days 00:01:10.418430,SGD,64,64,128,2.58E-10,256,128,1,1,1,2,3,COMPLETE
62,62,0.198005289,37:26.2,38:36.1,0 days 00:01:09.866498,SGD,64,64,128,2.73E-10,256,128,1,1,1,2,3,COMPLETE
63,63,0.194847345,38:36.2,39:46.5,0 days 00:01:10.288695,SGD,64,64,128,3.22E-10,256,128,1,1,1,2,3,COMPLETE
64,64,0.196144357,39:46.6,40:56.5,0 days 00:01:09.933484,SGD,64,64,128,3.22E-10,256,128,1,1,1,2,3,COMPLETE
65,65,0.197217137,40:56.6,42:06.6,0 days 00:01:09.998877,SGD,64,64,128,3.24E-10,256,128,1,1,1,2,3,COMPLETE
66,66,0.195836693,42:06.7,43:16.2,0 days 00:01:09.520309,SGD,64,64,128,3.68E-10,256,128,1,1,1,2,3,COMPLETE
67,67,0.193867728,43:16.4,44:26.2,0 days 00:01:09.835391,SGD,64,64,128,3.70E-10,256,128,1,1,1,2,3,COMPLETE
68,68,0.195859328,44:26.3,45:43.2,0 days 00:01:16.859634,SGD,64,64,128,3.67E-10,256,512,1,1,1,2,3,COMPLETE
69,69,0.197575927,45:43.3,46:53.4,0 days 00:01:10.099796,SGD,64,64,128,4.22E-10,256,128,1,1,1,2,3,COMPLETE
